"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MFG";"MFN";"MPN";"OC_FARNELL";"OC_NEWARK";"VALUE";
"1";"";"MA07-2SMT";"MA07-2-SMT";"SV1";"PIN HEADER";"";"";"";"";"";"";"";
"1";"0.01uF";"C-US-0.01UF-C0603";"C0603";"C20";"CAPACITOR, American symbol";"";"murata";"";"GRM1885C1H103JA01D";"";"";"0.01uF";
"10";"0.1uF";"C-US0.1UFC0603";"C0603";"C1, C2, C3, C5, C6, C7, C9, C12, C15, C17";"CAPACITOR, American symbol";"";"yageo";"";"CC0603KRX7R7BB104";"";"";"0.1uF";
"2";"0.22uF";"C-US0.22UFC0603";"C0603";"C10, C11";"CAPACITOR, American symbol";"";"samsung";"";"CL10B224KO8NNNC";"";"";"0.22uF";
"4";"10";"R-US_10R0603";"R0603";"R4, R5, R7, R8";"RESISTOR, American symbol";"";"panasonic";"";"ERJ-3EKF10R0V ";"";"";"10";
"1";"10uF@4V";"C-US10UFC0603";"C0603";"C8";"CAPACITOR, American symbol";"";"murata";"";"GRM188R60G106ME47D";"";"";"10uF@4V";
"1";"10uH";"L-US-10UH-VLS201610ET";"VLS201610ET";"L2";"INDUCTOR, American symbol";"";"tdk";"";" VLS201610ET-100M ";"";"";"10uH";
"2";"18pF";"C-US18PFC0603";"C0603";"C13, C14";"CAPACITOR, American symbol";"";"panasonic";"";"CL10C180JB8NNNC";"";"";"18pF";
"1";"18uF";"L-US-18UF-L1210";"L1210";"L1";"INDUCTOR, American symbol";"";"bourns";"";" CMH322522-180KL ";"";"";"18uF";
"1";"1M";"R-US_1MR0603";"R0603";"R6";"RESISTOR, American symbol";"";"panasonic";"";" ERJ-3EKF1004V ";"";"";"1M";
"1";"220pF";"C-US-220PF-C0603";"C0603";"C21";"CAPACITOR, American symbol";"";"murata";"";"GRM1885C1H221JA01D";"";"";"220pF";
"3";"22uf@6.3V";"C-US22UFC0603";"C0603";"C16, C18, C19";"CAPACITOR, American symbol";"";"samsung";"";"CL10A226MQ8NRNC";"";"";"22uf@6.3V";
"1";"3.3V";"VREG3.3V3.3V";"-DBV";"U5";"";"";"TI";"";"LP2985AIM5-3.3/NOPB";"";"";"3.3V";
"1";"33pF";"C-US-33PF-C0603";"C0603";"C4";"CAPACITOR, American symbol";"";"murata";"";"GRM1555C1H330FA01D";"";"";"33pF";
"3";"4.7k";"R-US_4.7KR0603";"R0603";"R1, R2, R3";"RESISTOR, American symbol";"";"panasonic";"";" ERJ-3GEYJ472V ";"";"";"4.7k";
"1";"CON-6-1";"CON-6-1";"10114828-10106LF";"H1";"";"";"FCI";"";" 10114828-10106LF ";"";"";"";
"1";"CRYSTAL24MHZ";"CRYSTAL24MHZ";"ABM8";"Q2";"";"";"Abracon";"";"4.000MHZ-B2-T ";"";"";"";
"1";"FDC2212";"FDC2212";"-WSON";"U2";"";"";"TI";"";"FDC2212";"";"";"";
"1";"MINI-USB-UX60-MB-5ST";"MINI-USB-UX60-MB-5ST";"UX60-MB-5ST";"X1";"MINI USB Connector";"";"Hirose";"";"UX60-MB-5ST ";"unknown";"unknown";"";
"1";"MSP430F5528";"MSP430F5528";"-RGC-N64";"U1";"";"";"TI";"";"MSP430F5528IRGCR";"";"";"";
"1";"OCIL";"OCIL";"625L3C040M00000";"Q1";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";"";"";"";"";"";"";
"2";"OPA365";"OPA365";"-DBV";"U3, U4";"";"";"TI";"";"OPA365";"";"";"";
"2";"SMA-SMT-";"SMA-SMT-";"0732511352";"J1, J2";"";"";"molex";"";"0732511352";"";"";"";
"1";"USB-DIODE";"USB-DIODE";"-DRL";"D1";"";"";"ti";"";"TPD2E001";"";"";"";
"1";"zener 5.6V";"DIODE-SOD123";"SOD123";"D2";"DIODE";"";"diodes inc";"";" MMSZ5232B-7-F";"";"";"zener 5.6V";
